,desc,location,size,value
188,"Impeccable 3 Bedroom Master Ensuite Bungalow in Rongai, Rimpa","Rongai, Kajiado, Nairobi, Nairobi",3 Bedrooms,KSh 6500000
189,5 Bedroom Villas in Karen,"karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 170000000
190,Large 4 Bedroomed Semi Detached Maisonette with DSQ in Syokimau For Sale,"Just 2 Km behind the Gateway Mall on Mombasa Road, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 12800000
191,"An Inviting, Newly Built 5 Bedroom All En-Suite House","Karen, Nairobi, Nairobi",4 Bedrooms,KSh 85000000
192,4 Bedroom House in Karen 3KE1378563,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 55000000
193,Charming 4 Bedroom Home - Windsor Park,"Windsor Park, Ridgeways, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
194,5 Bedroom Luxurious House,"siaya road, Kileleshwa, Nairobi, Nairobi",5 Bedrooms,KSh 285000000
195,Magnificent 5 Bedroom,"RUNDA, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 200000000
196,Elegant Town House,"Ridgeways, Ridgeways, Nairobi, Nairobi",4 Bedrooms,KSh 29000000
197,"Amazing  Modern 3 Bedroom Maiosonettes in Kitengela, Yukos","Kitengela, Kajiado, Nairobi, Nairobi",3 Bedrooms,KSh 8750000
198,Sparkle in the Woods ! Runda 5 Bedrooms Townhouse,"runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 78000000
199,Cozy! Kitengela Three Bedroom Bungalow,"Kitengela, Kajiado, Nairobi, Nairobi",3 Bedrooms,KSh 8750000
200,Exclusively Done Townhouse,"Riverside drive, Riverside, Nairobi, Nairobi",5 Bedrooms,KSh 60000000
201,House - 4 Bedrooms (all-ensuite) + DSQ @ Membley,"Membley Estate, Thika Rd, Exit 10, Thika Road, Nairobi, Nairobi",4 Bedrooms,KSh 18500000
202,Very Spacious 4 Bedroom House plus Dsq Off plan for sale  in Kiambu Road 40acre,"Runda, Nairobi, Nairobi",4 Bedrooms,KSh 41950000
203,3 Bedroom House in Quiet Location in New Muthaiga - S311,"Thigiri Ridge, New Muthaiga, Thigiri, Nairobi, Nairobi",3 Bedrooms,KSh 88000000
204,Pelican Haven ! Muthaiga 4 Bedroom Maisonette.,"muthaiga, Muthaiga, Nairobi, Nairobi",4 Bedrooms,KSh 30000000
205,Spacious 4bedroom + Dsq maisonette for sale in Kileleshwa,"Gichugu road, Kileleshwa, Nairobi, Nairobi",4 Bedrooms,KSh 60000000
206,A Beautiful 5 Bedroom Townhouse in Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
207,Lavington 5 Bedroom (all Ensuite) Villa,"Hatheru Rd, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 60000000
208,5 Bedroom all Ensuite in Karen,"Karen, near the Hub, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
209,4 Bedroom Maisonette - Garden Estate,"Garden Estate, Nairobi, Nairobi",4 Bedrooms,KSh 110000000
210,4 Bedroom Town House in Karen,"windy ridge, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 79000000
